"saturation_city","canonical_name","city_id","matched","verified_layers","saturation_percent","lock_status"
"Akron","Akron, OH","city_66635fc3","True","14","100","locked"
"Albuquerque","Albuquerque, NM","city_756cb4ea","True","14","100","locked"
"Allentown","Allentown, PA","city_3c08e197","True","14","100","locked"
"Ann Arbor","Ann Arbor, MI","city_fd630896","True","14","100","locked"
"Arlington","Arlington, TX","city_6cabf985","True","14","100","locked"
"Atlanta","Atlanta, GA","city_7eb25064","True","14","100","locked"
"Aurora","Aurora, CO","city_e9054367","True","14","100","locked"
"Austin","Austin, TX","city_a324d561","True","14","100","locked"
"Baltimore","Baltimore, MD","city_a7350aab","True","14","100","locked"
"Bellevue","Bellevue, WA","city_c2cf7437","True","14","100","locked"
"Bloomington","Bloomington, MN","city_668d0bd6","True","14","100","locked"
"Boise","Boise, ID","city_29ef5eb4","True","14","100","locked"
"Boston","Boston, MA","city_95b0c3ba","True","14","100","locked"
"Bowling Green","Bowling Green, KY","city_9814694d","True","14","100","locked"
"Broken Arrow","Broken Arrow, OK","city_c4822ada","True","14","100","locked"
"Chandler","Chandler, AZ","city_46d49fea","True","14","100","locked"
"Charlotte","Charlotte, NC","city_5090c3c6","True","14","100","locked"
"Chattanooga","Chattanooga, TN","city_b7aea338","True","14","100","locked"
"Chicago","Chicago, IL","city_4c180874","True","14","100","locked"
"Cincinnati","Cincinnati, OH","city_1e856280","True","14","100","locked"
"Clarksville","Clarksville, TN","city_5cbb095a","True","14","100","locked"
"Cleveland","Cleveland, OH","city_350fa856","True","14","100","locked"
"Colorado Springs","Colorado Springs, CO","city_328b326a","True","14","100","locked"
"Columbia","Columbia, MO","city_878f11ab","True","14","100","locked"
"Columbus","Columbus, OH","city_85e83faa","True","14","100","locked"
"Covington","Covington, KY","city_f8eaf382","True","14","100","locked"
"Dallas","Dallas, TX","city_5abab5f6","True","14","100","locked"
"Denver","Denver, CO","city_39d61699","True","14","100","locked"
"Detroit","Detroit, MI","city_6536761e","True","14","100","locked"
"Duluth","Duluth, MN","city_0b8ff86c","True","14","100","locked"
"Durham","Durham, NC","city_78ccf400","True","14","100","locked"
"Edmond","Edmond, OK","city_0c5b904d","True","14","100","locked"
"El Paso","El Paso, TX","city_990961e3","True","14","100","locked"
"Erie","Erie, PA","city_46ea53ac","True","14","100","locked"
"Eugene","Eugene, OR","city_eedb043f","True","14","100","locked"
"Flint","Flint, MI","city_9ba60036","True","14","100","locked"
"Fort Collins","Fort Collins, CO","city_254d227a","True","14","100","locked"
"Fort Worth","Fort Worth, TX","city_47b59fac","True","14","100","locked"
"Fresno","Fresno, CA","city_c94decbe","True","14","100","locked"
"Grand Rapids","Grand Rapids, MI","city_5c4c1c64","True","14","100","locked"
"Greensboro","Greensboro, NC","city_0e003b8d","True","14","100","locked"
"Gresham","Gresham, OR","city_400670ba","True","14","100","locked"
"Henderson","Henderson, NV","city_fc1b220f","True","14","100","locked"
