"city_id","canonical_name","state","scaffold_path","asset_manifest","status"
"city_66635fc3","Akron, OH","OH",".\data\clients\black_dragon\globe_materialization\city_66635fc3",".\data\clients\black_dragon\globe_materialization\city_66635fc3\asset_manifest.json","queued_for_materialization"
"city_756cb4ea","Albuquerque, NM","NM",".\data\clients\black_dragon\globe_materialization\city_756cb4ea",".\data\clients\black_dragon\globe_materialization\city_756cb4ea\asset_manifest.json","queued_for_materialization"
"city_3c08e197","Allentown, PA","PA",".\data\clients\black_dragon\globe_materialization\city_3c08e197",".\data\clients\black_dragon\globe_materialization\city_3c08e197\asset_manifest.json","queued_for_materialization"
"city_fd630896","Ann Arbor, MI","MI",".\data\clients\black_dragon\globe_materialization\city_fd630896",".\data\clients\black_dragon\globe_materialization\city_fd630896\asset_manifest.json","queued_for_materialization"
"city_6cabf985","Arlington, TX","TX",".\data\clients\black_dragon\globe_materialization\city_6cabf985",".\data\clients\black_dragon\globe_materialization\city_6cabf985\asset_manifest.json","queued_for_materialization"
"city_7eb25064","Atlanta, GA","GA",".\data\clients\black_dragon\globe_materialization\city_7eb25064",".\data\clients\black_dragon\globe_materialization\city_7eb25064\asset_manifest.json","queued_for_materialization"
"city_e9054367","Aurora, CO","CO",".\data\clients\black_dragon\globe_materialization\city_e9054367",".\data\clients\black_dragon\globe_materialization\city_e9054367\asset_manifest.json","queued_for_materialization"
"city_a324d561","Austin, TX","TX",".\data\clients\black_dragon\globe_materialization\city_a324d561",".\data\clients\black_dragon\globe_materialization\city_a324d561\asset_manifest.json","queued_for_materialization"
"city_a7350aab","Baltimore, MD","MD",".\data\clients\black_dragon\globe_materialization\city_a7350aab",".\data\clients\black_dragon\globe_materialization\city_a7350aab\asset_manifest.json","queued_for_materialization"
"city_c2cf7437","Bellevue, WA","WA",".\data\clients\black_dragon\globe_materialization\city_c2cf7437",".\data\clients\black_dragon\globe_materialization\city_c2cf7437\asset_manifest.json","queued_for_materialization"
"city_668d0bd6","Bloomington, MN","MN",".\data\clients\black_dragon\globe_materialization\city_668d0bd6",".\data\clients\black_dragon\globe_materialization\city_668d0bd6\asset_manifest.json","queued_for_materialization"
"city_29ef5eb4","Boise, ID","ID",".\data\clients\black_dragon\globe_materialization\city_29ef5eb4",".\data\clients\black_dragon\globe_materialization\city_29ef5eb4\asset_manifest.json","queued_for_materialization"
"city_95b0c3ba","Boston, MA","MA",".\data\clients\black_dragon\globe_materialization\city_95b0c3ba",".\data\clients\black_dragon\globe_materialization\city_95b0c3ba\asset_manifest.json","queued_for_materialization"
"city_9814694d","Bowling Green, KY","KY",".\data\clients\black_dragon\globe_materialization\city_9814694d",".\data\clients\black_dragon\globe_materialization\city_9814694d\asset_manifest.json","queued_for_materialization"
"city_c4822ada","Broken Arrow, OK","OK",".\data\clients\black_dragon\globe_materialization\city_c4822ada",".\data\clients\black_dragon\globe_materialization\city_c4822ada\asset_manifest.json","queued_for_materialization"
"city_46d49fea","Chandler, AZ","AZ",".\data\clients\black_dragon\globe_materialization\city_46d49fea",".\data\clients\black_dragon\globe_materialization\city_46d49fea\asset_manifest.json","queued_for_materialization"
"city_5090c3c6","Charlotte, NC","NC",".\data\clients\black_dragon\globe_materialization\city_5090c3c6",".\data\clients\black_dragon\globe_materialization\city_5090c3c6\asset_manifest.json","queued_for_materialization"
"city_b7aea338","Chattanooga, TN","TN",".\data\clients\black_dragon\globe_materialization\city_b7aea338",".\data\clients\black_dragon\globe_materialization\city_b7aea338\asset_manifest.json","queued_for_materialization"
"city_4c180874","Chicago, IL","IL",".\data\clients\black_dragon\globe_materialization\city_4c180874",".\data\clients\black_dragon\globe_materialization\city_4c180874\asset_manifest.json","queued_for_materialization"
"city_1e856280","Cincinnati, OH","OH",".\data\clients\black_dragon\globe_materialization\city_1e856280",".\data\clients\black_dragon\globe_materialization\city_1e856280\asset_manifest.json","queued_for_materialization"
"city_5cbb095a","Clarksville, TN","TN",".\data\clients\black_dragon\globe_materialization\city_5cbb095a",".\data\clients\black_dragon\globe_materialization\city_5cbb095a\asset_manifest.json","queued_for_materialization"
"city_350fa856","Cleveland, OH","OH",".\data\clients\black_dragon\globe_materialization\city_350fa856",".\data\clients\black_dragon\globe_materialization\city_350fa856\asset_manifest.json","queued_for_materialization"
"city_328b326a","Colorado Springs, CO","CO",".\data\clients\black_dragon\globe_materialization\city_328b326a",".\data\clients\black_dragon\globe_materialization\city_328b326a\asset_manifest.json","queued_for_materialization"
"city_878f11ab","Columbia, MO","MO",".\data\clients\black_dragon\globe_materialization\city_878f11ab",".\data\clients\black_dragon\globe_materialization\city_878f11ab\asset_manifest.json","queued_for_materialization"
"city_85e83faa","Columbus, OH","OH",".\data\clients\black_dragon\globe_materialization\city_85e83faa",".\data\clients\black_dragon\globe_materialization\city_85e83faa\asset_manifest.json","queued_for_materialization"
"city_f8eaf382","Covington, KY","KY",".\data\clients\black_dragon\globe_materialization\city_f8eaf382",".\data\clients\black_dragon\globe_materialization\city_f8eaf382\asset_manifest.json","queued_for_materialization"
"city_5abab5f6","Dallas, TX","TX",".\data\clients\black_dragon\globe_materialization\city_5abab5f6",".\data\clients\black_dragon\globe_materialization\city_5abab5f6\asset_manifest.json","queued_for_materialization"
"city_39d61699","Denver, CO","CO",".\data\clients\black_dragon\globe_materialization\city_39d61699",".\data\clients\black_dragon\globe_materialization\city_39d61699\asset_manifest.json","queued_for_materialization"
"city_6536761e","Detroit, MI","MI",".\data\clients\black_dragon\globe_materialization\city_6536761e",".\data\clients\black_dragon\globe_materialization\city_6536761e\asset_manifest.json","queued_for_materialization"
"city_0b8ff86c","Duluth, MN","MN",".\data\clients\black_dragon\globe_materialization\city_0b8ff86c",".\data\clients\black_dragon\globe_materialization\city_0b8ff86c\asset_manifest.json","queued_for_materialization"
"city_78ccf400","Durham, NC","NC",".\data\clients\black_dragon\globe_materialization\city_78ccf400",".\data\clients\black_dragon\globe_materialization\city_78ccf400\asset_manifest.json","queued_for_materialization"
"city_0c5b904d","Edmond, OK","OK",".\data\clients\black_dragon\globe_materialization\city_0c5b904d",".\data\clients\black_dragon\globe_materialization\city_0c5b904d\asset_manifest.json","queued_for_materialization"
"city_990961e3","El Paso, TX","TX",".\data\clients\black_dragon\globe_materialization\city_990961e3",".\data\clients\black_dragon\globe_materialization\city_990961e3\asset_manifest.json","queued_for_materialization"
"city_46ea53ac","Erie, PA","PA",".\data\clients\black_dragon\globe_materialization\city_46ea53ac",".\data\clients\black_dragon\globe_materialization\city_46ea53ac\asset_manifest.json","queued_for_materialization"
